Acc.Number,Leaf blade length [cm],Leaf blade width [cm],Culm length [cm],Panicle length [cm],Ligule length [mm],Culm diameter [mm],Total number of tillers ,Number of fertile tillers ,Ligule Shape,Plant Type
WAB0000089,"14,35","1,00","64,00","17,50","0,50","6,20",2,1,CLEFT,ERECT
WAB0000157,"34,58","1,93","124,72","25,40","0,59","0,61",40,28,,
WAB0000169,"31,96","1,30","82,50","17,67","1,77","5,73",13,12,ACUTE TO ACCUMUNATE,ERECT
WAB0000189,"42,33","1,60","108,08","27,73",,,15,17,,
WAB0000209,"37,44","1,62","116,21","27,08",,"5,00",44,16,,
WAB0000210,"32,58","1,07","81,10","32,17","2,10","7,13",28,26,CLEFT,ERECT
WAB0000776,"30,92","2,24","112,46","24,55",,"0,56",23,13,,
WAB0000933,"40,29","1,30","133,54","28,68",,"0,58",28,26,,
WAB0002259,"34,18","1,79","130,23","25,69",,,19,14,,
WAB0002276,"42,59","1,33","110,39","27,44",,"0,56",12,9,,
WAB0002279,"25,16","0,97","67,67","28,23","1,40","6,13",12,10,MIXTURE,ERECT
WAB0002302,"24,34","0,77","67,43","31,53","1,93","6,40",20,20,CLEFT,ERECT
WAB0002477,"33,51","1,47","117,37","23,05",,"0,58",37,27,,
WAB0002482,"50,28","1,58","127,18","28,73","2,51","0,61",19,14,,
WAB0003163,"41,71",,"117,84","28,34",,,14,13,,
WAB0003165,"28,12","1,20","101,17","24,60","1,70","6,53",6,5,CLEFT,ERECT
WAB0003632,"28,22","1,07","80,33","22,27","1,93","4,90",17,14,CLEFT,ERECT
WAB0003640,,"1,50","148,47",,,,10,8,,
WAB0003661,"42,55","1,66","120,07","21,70","1,20","0,51",19,8,,
WAB0003669,"39,60","1,72","111,99","22,40",,,22,18,,
WAB0003682,"27,92","1,17","76,33","24,07","1,57","4,63",13,13,CLEFT,ERECT
WAB0003879,"45,66","1,66","138,78","25,88",,,14,13,,
WAB0003901,"23,26","1,00","75,33","27,17","1,33","4,67",14,13,,
WAB0003902,"33,20","1,03","92,67",,"2,23","6,73",20,19,ACUTE TO ACCUMUNATE,ERECT
WAB0004035,"35,99",,"128,64","29,25",,,22,14,,
WAB0004047,"49,50",,"124,68","27,85",,,12,17,,
WAB0004051,"21,02","0,90","75,00","18,07","0,47","7,30",9,7,ACUTE TO ACCUMUNATE,ERECT
WAB0004054,"42,88","1,35","153,33","30,62","1,67","5,45",11,10,,
WAB0004086,"37,26","1,25","123,60","30,98",,"4,37",38,20,,
WAB0004089,"26,02","1,17","78,33","22,87","1,93","5,43",18,17,ACUTE TO ACCUMUNATE,ERECT
WAB0004246,"43,44","1,27","130,59","29,60",,,18,14,,
WAB0004278,"32,04",,"120,60","26,71","0,51","0,78",13,12,,
WAB0004291,"33,52","1,00","121,90","25,76",,,18,14,,
WAB0004300,"38,82","1,27","123,83","28,30",,"3,87",42,22,,
WAB0004343,"38,67","1,83","120,60","29,03",,"0,58",13,12,,
WAB0004360,"37,85","1,72","110,21","23,59","0,52","0,51",36,25,,
WAB0004397,"35,31","1,78","112,97","22,29",,"0,52",16,10,,
WAB0004398,"41,87","1,80","79,33","24,45","1,50",,10,8,,
WAB0004440,"34,06","1,70","112,57","28,12",,"0,61",13,17,,
WAB0004441,"41,22","1,80","128,58","28,22",,"0,60",16,14,,
WAB0004458,"44,45",,"133,21","27,38",,"0,56",16,15,,
WAB0004462,"47,77",,"101,38","26,52","4,40","7,83",10,9,,
WAB0004485,"43,02",,"135,69","28,59",,"0,56",17,15,,
WAB0004490,"43,13","1,70","130,32","27,05","1,41","0,54",17,14,,
WAB0004491,"51,89",,"134,60","28,50","0,52","0,60",13,10,,
WAB0004493,"51,23",,"130,82","30,83",,"0,60",15,9,,
WAB0004497,"22,04","1,03","87,67","27,03","1,10","5,63",20,19,ACUTE TO ACCUMUNATE,ERECT
WAB0004504,"45,00","1,57","126,08","25,23",,,13,11,,
WAB0004529,"22,26","0,90","76,67","25,87","1,77","5,87",12,12,ACUTE TO ACCUMUNATE,ERECT
WAB0004548,"21,56","1,33","91,33","22,83","1,90","5,03",20,17,ACUTE TO ACCUMUNATE,ERECT
WAB0004550,"37,49","1,68","125,32","25,87",,,22,17,,
WAB0004557,"37,87","1,49","125,84","26,77",,"0,51",20,17,,
WAB0004573,"38,82","2,00","128,36","24,86",,"0,54",22,18,,
WAB0004577,"48,68","1,57","133,03",,,,13,10,,
WAB0004584,"36,38","1,80","111,33","24,19",,,24,15,,
WAB0004606,"41,71","1,30","120,50","30,61",,"0,58",15,15,,
WAB0004620,"45,03",,"123,73","23,18","2,24","0,55",19,14,,
WAB0004628,"44,26",,"119,57","29,00",,"0,52",16,6,,
WAB0004639,"22,78","1,17","78,00","25,17","1,13","5,57",16,16,ACUTE TO ACCUMUNATE,ERECT
WAB0004643,"39,04","1,59","137,39","26,59",,,9,6,,
WAB0004678,"25,28","1,33","80,33","23,17","1,73","5,40",18,17,ACUTE TO ACCUMUNATE,ERECT
WAB0004689,"19,64","0,93","57,33","18,97","1,50","4,87",12,12,ACUTE TO ACCUMUNATE,ERECT
WAB0004690,"40,52","1,83","136,52","27,17",,"2,70",13,12,,
WAB0004695,"41,36","1,23","107,67","25,17","3,07","5,50",10,8,CLEFT,ERECT
WAB0004698,"31,94","1,17","98,00","28,57","2,40","4,97",19,18,ACUTE TO ACCUMUNATE,ERECT
WAB0004724,"40,97","1,64","123,00","23,06",,"5,10",33,15,,
WAB0004730,"24,04","0,97","64,33","22,57","1,30","5,90",9,9,CLEFT,ERECT
WAB0004731,"45,09","2,27","116,55","29,54",,"4,70",39,19,,
WAB0004738,"32,08","1,07","63,67","27,10","2,20","5,57",10,9,CLEFT,ERECT
WAB0004743,"50,40","1,71","128,92","26,73",,"0,51",20,14,,
WAB0004744,"17,95","0,90","60,00","24,00","1,50","7,00",34,32,CLEFT,OPEN
WAB0004840,"28,42","1,47","94,00","30,37","2,00","6,17",16,15,ACUTE TO ACCUMUNATE,ERECT
WAB0004853,"48,86","2,13","134,00","32,69",,,17,12,,
WAB0004862,"51,78","1,80","133,80","29,09",,"0,58",19,15,,
WAB0004871,"44,72","1,97","172,82","29,12","1,58","7,11",16,13,,
WAB0004882,"37,75","2,07",,"28,27","1,50",,13,11,,
WAB0004923,"43,13","1,96","111,08","25,23",,"5,13",32,7,,
WAB0004935,"40,29","1,61","92,22","24,17",,,21,23,,
WAB0004947,"40,77","1,97","112,24","28,01",,"4,43",43,19,,
WAB0004965,"19,35","1,25","71,50","28,35","1,70","5,65",21,19,ACUTE TO ACCUMUNATE,ERECT
WAB0004994,"40,31","1,60","110,73","35,85",,"0,57",13,15,,
WAB0005002,"38,86","1,57","132,74","26,84","0,96","0,70",16,8,,
WAB0005040,"34,32","1,80","109,73","21,47",,,15,13,,
WAB0005046,"44,41","1,03","138,90","28,91","1,84","7,13",21,9,,
WAB0005074,"46,78","1,43","141,03","26,69","1,12","0,73",17,15,,
WAB0005078,"45,49",,"127,71","26,32","1,36","0,60",21,17,,
WAB0005095,"51,63","1,42","140,07","26,81",,,12,11,,
WAB0005128,"32,49","1,74","109,48","25,19",,,18,16,,
WAB0005162,"26,86","1,03","84,17","30,20","2,27","4,97",12,12,CLEFT,ERECT
WAB0005183,"28,36","0,87","105,00","26,63","1,17","5,13",16,14,CLEFT,ERECT
WAB0005185,"43,19","1,20","133,96","27,83",,"0,59",22,16,,
WAB0005189,"45,16",,"121,60","32,04",,,16,10,,
